year,plant,species,site,habitat,treatment,survival,height,length,width,green_lvs,scape,new_lvs,biomass,canopy,lf_long,comments
1997,103,2,3,1,,1,102,173,100,5,0,2,1907,,2.5,
2001,173,1,6,4,1,1,105,185,108,9,0,9,3984,,,
1997,214,1,6,4,1,1,152,261,234,11,0,3,10344,,3.67,
1982,86,1,3,1,,1,73,118,110,9,0,4,4031,,,
1987,72,1,2,1,,1,58,53,52,4,0,2,387,,,
1996,236,2,6,4,2,1,125,129,115,4,0,1,1735,,4,
1984,7,1,4,2,,1,97,111,107,11,2,4,6284,,,
2017,312,2,6,4,1,1,148,208,122,5,0,,2143,,,
1989,240,2,6,4,2,1,98,155,149,4,2,1,2099,,,
1986,53,1,5,2,,1,81,84,65,8,2,7,2199,,,
1994,474,1,6,3,1,1,97,113,104,5,0,2,1006,,2.5,
1988,80,1,2,1,,1,59,78,49,4,0,2,373,,,
2001,270,2,6,4,2,1,74,77,68,2,0,2,567,,,
1989,560,2,6,3,1,1,104,214,173,5,0,,2689,,,
1996,41,1,1,1,,1,81,97,84,7,0,3,1905,,2.33,
1994,621,1,6,4,4,1,95,115,115,6.5,0,2.5,1962,,,
1989,59,2,4,2,,1,83,94,61,3,0,1,825,,,
1992,184,1,6,4,1,1,94,153,96,9,0,3,3696,,3,
1989,5,2,1,1,,1,61,105,98,3,0,2,1221,,,
1994,444,1,6,3,2,1,48,57,37,5,0,3,521,,1.67,
1991,205,1,6,4,1,1,88,152,92,8,0,3,2744,,2.67,
1995,679,2,6,4,3,1,107,160,122,4.5,0,1.5,1977,,,
1985,228,2,6,4,2,1,115,184,94,4,0,,1510,,,
1985,175,1,6,4,1,1,115,216,122,14,0,,11896,,,
1994,71,2,2,2,,1,104,157,112,4,0,2,1703,,2,
1985,29,2,4,2,,1,98,119,108,3,2,1,1328,,,
1995,518,2,6,3,2,1,71,146,82,4,0,2,1382,,2,
1992,104,2,3,1,,1,92,172,122,4,0,1,1810,,4,
1991,42,2,2,1,,1,64,115,112,3,1,1,1371,,3,
1992,589,1,6,4,3,1,111,123,82,4,0,4,518,,,
2017,106,2,3,1,,1,42,48,22,2,0,,74,,,
1993,13,1,4,2,,1,55,87,74,7,0,4,1757,46,1.75,
2001,617,1,6,4,3,1,66,87,76,4,0,4,493,,,
2001,777,2,6,4,5,1,87,152,111,5,0,5,1859,,,
2001,526,1,6,4,3,1,50,79,40,4,0,4,328,,,
1991,116,2,3,1,,1,74,141,120,5,2,1,2121,,5,
1987,256,2,6,4,2,1,88,76,76,4,0,2,1318,,,
1993,187,1,6,4,1,1,89,118,108,8,0,3,3039,92,2.67,
1988,103,2,3,1,,1,86,141,101,4,0,2,591,,,
1994,662,2,6,4,5,1,84,107,71,2.5,0,1.5,765,,,
1986,91,2,5,2,,1,86,129,112,5,1,2,2036,,,
1985,128,1,6,4,2,1,115,174,99,9,0,,3770,,,
1987,77,1,2,1,,1,55,59,46,3,0,2,185,,,
1993,36,2,2,1,,1,76,96,65,4,0,1,1200,0,4,
2017,746,2,6,4,3,0,,,,,,,,,,burned and plowed in 2013 fire
1991,600,2,6,3,1,1,81,145,85,2,0,4,749,,0.5,
1991,316,2,6,4,1,1,81,115,73,3,0,1,953,,3,
1994,36,1,1,1,,1,57,106,74,9,0,4,3132,,2.25,
1992,685,2,6,4,4,1,113,196,131,4,0,1,1907,,,
2001,517,2,6,3,2,1,81,120,96,5,0,5,1698,,,
1997,128,1,6,4,2,1,128,123,83,10,0,4,4293,,2.5,
1997,691,2,6,4,3,1,117,217,98,4,0,2,1553,,,
1983,84,1,3,1,,1,91,143,98,6,0,3,1474,,,
1994,540,2,6,3,2,1,62,62,57,3,0,2,782,,1.5,
1989,429,1,6,3,2,1,116,177,136,11,0,,7321,,,
1997,221,2,6,4,2,1,83,94,57,2,0,1,449,,2,
1995,667,2,6,4,3,1,69,123,79,4,0,2,1350,,,
1993,643,1,6,4,3,1,99,126,126,5,0,2,1137,91,,
1992,673,2,6,4,4,1,72,85,41,3,0,1,610,,,
1996,150,1,6,4,2,1,85,108,85,7,0,3,1919,,2.33,
1994,61,1,2,1,,1,92,73,53,7,0,3,1420,,2.33,
1986,59,2,4,2,,1,86,127,96,3,0,1,1199,,,
1996,73,1,2,1,,1,99,108,58,5,0,2,694,,2.5,
1994,179,1,6,4,1,1,84,105,104,8,0,3,2967,,2.67,
1995,409,1,6,3,2,1,91,143,124,15,1,6,14087,,2.5,
1995,589,2,6,3,1,1,96,108,93,3,0,2,1167,,1.5,
1985,141,1,6,4,2,1,117,116,104,6,0,,1531,,,
2017,41,2,2,1,,1,76,94,65,3,0,,867,,,
1995,36,2,2,1,,1,67,102,57,2.5,0,3,615,,1,
1994,22,2,4,2,,1,76,110,74,4,1,2,1296,,2,
2017,273,2,6,4,1,1,129,205,116,3.5,1,,1580,,,
1993,18,1,4,2,,1,110,118,108,11,0,3,6321,15,3.67,
1992,103,1,2,2,,1,94,103,92,8,0,3,2744,,2.67,
1995,462,1,6,3,1,1,82,100,99,6,0,2,1483,,3,
1985,269,2,6,4,2,1,99,168,132,4,0,,1917,,,
1995,634,1,6,4,4,1,122,126,107,8,0,4,3021,,,
1995,16,2,1,1,,1,59,88,71,4,0,4,1264,,1,
1993,749,2,6,4,3,1,146,252,195,4,0,2,2592,95,,
2001,501,2,6,3,2,1,80,129,108,5,0,5,1993,,,
2001,538,1,6,4,4,1,98,139,101,7,0,7,2142,,,
2017,510,2,6,3,2,0,,,,,,,,,,Chopped
1991,119,2,3,1,,1,74,84,54,3,0,2,750,,1.5,
1990,12,1,4,2,,1,112,171,145,11,0,4,7626,,2.75,
1997,457,1,6,3,1,1,143,128,118,6,0,2,1659,,3,
2017,408,1,6,3,2,0,,,,,,,,,,Chopped
1995,34,2,2,1,,1,97,120,86,6,0,3,2090,,2,
2017,756,2,6,4,3,1,99,112,108,4,0,,1660,,,burned in 2013 fire
1992,105,2,3,1,,1,61,90,57,3.5,0,2,948,,2.33,
1985,97,2,5,2,,1,76,75,67,2,3,3,556,,,
1981,30,1,5,2,,1,56,80,42,7,0,,1225,,,
1989,262,2,6,4,2,1,93,134,90,4,0,2,1468,,,
1988,185,1,6,4,1,1,48,93,45,4,0,2,353,,,
1988,72,1,2,1,,1,54,52,51,3,0,1,197,,,
1986,54,2,4,2,,1,115,206,168,6,3,2,2968,,,
1982,99,2,5,2,,1,83,148,120,5,0,2,2121,,,
1989,54,1,5,2,,1,77,74,72,7,0,4,1726,,,
1995,515,1,6,4,4,1,160,165,144,11,0,5,7593,,,
1995,523,1,6,4,5,1,38,49,22,3,0,2,116,,,
1995,575,1,6,4,4,1,135,236,166,11,1,3,8312,,,
1995,549,2,6,3,2,1,69,97,66,3.5,0,2,1044,,2.33,
1986,40,2,2,1,,1,75,138,87,4,0,2,1435,,,
2017,500,1,6,3,1,1,149,186,151,12,1,,9560,,,
1993,80,1,2,1,,1,55,73,51,4,0,2,383,0,2,
2001,589,2,6,3,1,1,114,128,119,3,0,3,1446,,,
1996,734,2,6,4,3,1,107,135,90,3,0,2,1135,,,
1993,49,2,2,1,,1,83,122,117,5,0,3,2089,3,1.67,
1996,290,2,6,4,1,1,96,202,121,5,0,3,2132,,1.67,
1990,548,2,6,3,2,1,100,147,99,3,0,3,1231,,1,
1997,50,2,2,1,,1,78,85,74,4,0,1,1296,,4,
1988,218,1,6,4,1,1,119,161,157,9,0,3,5057,,,
2017,537,2,6,3,2,0,,,,,,,,,,Chopped
2001,15,2,1,1,,1,70,105,60,3,0,3,814,,,
1989,2,1,4,2,,1,92,101,97,8,0,3,2838,,,
1994,211,1,6,4,1,1,174,236,182,15,0,6,17988,,2.5,
2001,90,2,5,2,,1,84,122,84,4,2,4,1403,,,
1992,3,2,1,1,,1,91,125,122,3.5,0,2,1644,,2.33,
1993,8,1,4,2,,1,88,82,74,8,0,3,2388,5,2.67,
1990,457,1,6,3,1,1,103,141,100,6,0,2,1493,,3,
